date,grand_prix_name,team_name,points,current_team_name,scorigami
2013-04-14,Chinese Grand Prix,Lotus F1,20.0,Alpine F1 Team,1
2013-05-26,Monaco Grand Prix,Mercedes,37.0,Mercedes,1
2013-10-13,Japanese Grand Prix,Sauber,14.0,Sauber,1
2013-10-27,Indian Grand Prix,Lotus F1,21.0,Alpine F1 Team,1
2013-10-27,Indian Grand Prix,Mercedes,26.0,Mercedes,1
2013-11-03,Abu Dhabi Grand Prix,Force India,9.0,Aston Martin,1
2013-11-03,Abu Dhabi Grand Prix,Mercedes,21.0,Mercedes,1
2013-11-24,Brazilian Grand Prix,Ferrari,21.0,Ferrari,1
2014-03-30,Malaysian Grand Prix,Mercedes,43.0,Mercedes,1
2014-04-06,Bahrain Grand Prix,Force India,25.0,Aston Martin,1
2014-06-22,Austrian Grand Prix,Williams,27.0,Williams,1
2014-07-20,German Grand Prix,Mercedes,40.0,Mercedes,1
2014-11-02,United States Grand Prix,Red Bull,21.0,Red Bull,1
2014-11-02,United States Grand Prix,Williams,22.0,Williams,1
2014-11-23,Abu Dhabi Grand Prix,Force India,28.0,Aston Martin,1
2014-11-23,Abu Dhabi Grand Prix,Mercedes,50.0,Mercedes,1
2014-11-23,Abu Dhabi Grand Prix,Red Bull,32.0,Red Bull,1
2014-11-23,Abu Dhabi Grand Prix,Williams,66.0,Williams,1
2015-03-29,Malaysian Grand Prix,Ferrari,37.0,Ferrari,1
2015-03-29,Malaysian Grand Prix,Mercedes,33.0,Mercedes,1
2015-05-10,Spanish Grand Prix,Williams,20.0,Williams,1
2015-06-07,Canadian Grand Prix,Williams,23.0,Williams,1
2015-07-26,Hungarian Grand Prix,Toro Rosso,12.0,RB F1 Team,1
2015-09-06,Italian Grand Prix,Force India,14.0,Aston Martin,1
2015-10-11,Russian Grand Prix,Force India,15.0,Aston Martin,1
2015-10-25,United States Grand Prix,Toro Rosso,18.0,RB F1 Team,1
2015-11-29,Abu Dhabi Grand Prix,Red Bull,9.0,Red Bull,1
2016-03-20,Australian Grand Prix,Haas F1 Team,8.0,Haas F1 Team,1
2016-04-03,Bahrain Grand Prix,Haas F1 Team,10.0,Haas F1 Team,1
2016-04-17,Chinese Grand Prix,Haas F1 Team,0.0,Haas F1 Team,1
2016-04-17,Chinese Grand Prix,Mercedes,31.0,Mercedes,1
2016-05-01,Russian Grand Prix,Haas F1 Team,4.0,Haas F1 Team,1
2016-05-15,Spanish Grand Prix,Toro Rosso,9.0,RB F1 Team,1
2016-05-29,Monaco Grand Prix,Force India,23.0,Aston Martin,1
2016-06-12,Canadian Grand Prix,Mercedes,35.0,Mercedes,1
2016-06-19,European Grand Prix,Force India,17.0,Aston Martin,1
2016-07-03,Austrian Grand Prix,Haas F1 Team,6.0,Haas F1 Team,1
2016-08-28,Belgian Grand Prix,Force India,22.0,Aston Martin,1
2016-10-23,United States Grand Prix,Haas F1 Team,1.0,Haas F1 Team,1
2016-11-13,Brazilian Grand Prix,Force India,18.0,Aston Martin,1
2016-11-13,Brazilian Grand Prix,Red Bull,19.0,Red Bull,1
2017-05-28,Monaco Grand Prix,Haas F1 Team,5.0,Haas F1 Team,1
2017-06-25,Azerbaijan Grand Prix,Mercedes,28.0,Mercedes,1
2017-09-03,Italian Grand Prix,Red Bull,13.0,Red Bull,1
2017-09-17,Singapore Grand Prix,Haas F1 Team,2.0,Haas F1 Team,1
2017-10-29,Mexican Grand Prix,Mercedes,20.0,Mercedes,1
2017-11-12,Brazilian Grand Prix,Mercedes,30.0,Mercedes,1
2018-07-01,Austrian Grand Prix,Haas F1 Team,22.0,Haas F1 Team,1
2018-07-29,Hungarian Grand Prix,Haas F1 Team,7.0,Haas F1 Team,1
2018-11-25,Abu Dhabi Grand Prix,Haas F1 Team,3.0,Haas F1 Team,1
2019-03-17,Australian Grand Prix,Mercedes,44.0,Mercedes,1
2019-06-09,Canadian Grand Prix,Mercedes,38.0,Mercedes,1
2019-07-28,German Grand Prix,Toro Rosso,23.0,RB F1 Team,1
2019-08-04,Hungarian Grand Prix,Mercedes,29.0,Mercedes,1
2019-09-01,Belgian Grand Prix,Ferrari,38.0,Ferrari,1
2019-09-08,Italian Grand Prix,Mercedes,34.0,Mercedes,1
2019-10-13,Japanese Grand Prix,Mercedes,41.0,Mercedes,1
2019-10-27,Mexican Grand Prix,Ferrari,31.0,Ferrari,1
2019-11-17,Brazilian Grand Prix,Alfa Romeo,22.0,Sauber,1
2019-11-17,Brazilian Grand Prix,McLaren,19.0,McLaren,1
2019-11-17,Brazilian Grand Prix,Toro Rosso,19.0,RB F1 Team,1
2020-08-30,Belgian Grand Prix,Renault,23.0,Alpine F1 Team,1
2020-09-06,Italian Grand Prix,AlphaTauri,27.0,RB F1 Team,1
2020-11-15,Turkish Grand Prix,Racing Point,20.0,Aston Martin,1
2020-11-29,Bahrain Grand Prix,Red Bull,34.0,Red Bull,1
2020-12-06,Sakhir Grand Prix,Racing Point,40.0,Aston Martin,1
2020-12-06,Sakhir Grand Prix,Renault,28.0,Alpine F1 Team,1
2021-04-18,Emilia Romagna Grand Prix,Mercedes,19.0,Mercedes,1
2021-06-06,Azerbaijan Grand Prix,AlphaTauri,21.0,RB F1 Team,1
2021-06-20,French Grand Prix,Red Bull,41.0,Red Bull,1
2021-08-01,Hungarian Grand Prix,Alpine F1 Team,37.0,Alpine F1 Team,1
2021-08-29,Belgian Grand Prix,Mercedes,7.5,Mercedes,1
2021-08-29,Belgian Grand Prix,Red Bull,12.5,Red Bull,1
2021-09-12,Italian Grand Prix,McLaren,45.0,McLaren,1
2021-10-10,Turkish Grand Prix,Mercedes,36.0,Mercedes,1
2021-12-12,Abu Dhabi Grand Prix,AlphaTauri,22.0,RB F1 Team,1
2022-03-20,Bahrain Grand Prix,Ferrari,44.0,Ferrari,1
2022-03-27,Saudi Arabian Grand Prix,Ferrari,34.0,Ferrari,1
2022-04-24,Emilia Romagna Grand Prix,Red Bull,58.0,Red Bull,1
2022-05-08,Miami Grand Prix,Red Bull,38.0,Red Bull,1
2022-05-22,Spanish Grand Prix,Red Bull,44.0,Red Bull,1
2022-07-03,British Grand Prix,Red Bull,24.0,Red Bull,1
2022-07-10,Austrian Grand Prix,Haas F1 Team,14.0,Haas F1 Team,1
2022-09-04,Dutch Grand Prix,Red Bull,36.0,Red Bull,1
2022-11-13,São Paulo Grand Prix,Mercedes,58.0,Mercedes,1
2023-04-02,Australian Grand Prix,Aston Martin,27.0,Aston Martin,1
2023-04-30,Azerbaijan Grand Prix,Ferrari,36.0,Ferrari,1
2023-04-30,Azerbaijan Grand Prix,Red Bull,57.0,Red Bull,1
2023-07-02,Austrian Grand Prix,Aston Martin,21.0,Aston Martin,1
2023-07-02,Austrian Grand Prix,Ferrari,32.0,Ferrari,1
2023-07-02,Austrian Grand Prix,Red Bull,56.0,Red Bull,1
2023-07-30,Belgian Grand Prix,Mercedes,24.0,Mercedes,1
2023-07-30,Belgian Grand Prix,Red Bull,51.0,Red Bull,1
2023-08-27,Dutch Grand Prix,Aston Martin,19.0,Aston Martin,1
2023-10-08,Qatar Grand Prix,McLaren,47.0,McLaren,1
2023-10-22,United States Grand Prix,Red Bull,49.0,Red Bull,1
2024-03-24,Australian Grand Prix,McLaren,27.0,McLaren,1
2024-04-21,Chinese Grand Prix,Red Bull,54.0,Red Bull,1
2024-06-30,Austrian Grand Prix,Haas F1 Team,12.0,Haas F1 Team,1
2024-06-30,Austrian Grand Prix,McLaren,31.0,McLaren,1
2024-06-30,Austrian Grand Prix,Mercedes,45.0,Mercedes,1
2024-08-25,Dutch Grand Prix,McLaren,38.0,McLaren,1
2024-09-01,Italian Grand Prix,McLaren,34.0,McLaren,1
2024-10-20,United States Grand Prix,Ferrari,55.0,Ferrari,1
2024-10-27,Mexico City Grand Prix,Ferrari,41.0,Ferrari,1
2024-11-03,São Paulo Grand Prix,Alpine F1 Team,35.0,Alpine F1 Team,1
2024-12-01,Qatar Grand Prix,McLaren,32.0,McLaren,1
2025-03-23,Chinese Grand Prix,McLaren,51.0,McLaren,1
2025-05-04,Miami Grand Prix,McLaren,58.0,McLaren,1
2025-07-27,Belgian Grand Prix,McLaren,56.0,McLaren,1
2025-08-31,Dutch Grand Prix,Haas F1 Team,9.0,Haas F1 Team,1
2025-08-31,Dutch Grand Prix,RB F1 Team,15.0,RB F1 Team,1
2025-09-21,Azerbaijan Grand Prix,RB F1 Team,11.0,RB F1 Team,1
2025-11-30,Qatar Grand Prix,McLaren,44.0,McLaren,1
